id,Institution Name,
0,Massachusetts Institute of Technology (MIT),
1,Stanford University,
2,Harvard University,
3,University of Oxford,
4,California Institute of Technology (Caltech),
5,ETH Zurich (Swiss Federal Institute of Technology),
6,University of Cambridge,
7,UCL (University College London),
8,Imperial College London,
9,University of Chicago,
10,Nanyang Technological University (NTU),
11,National University of Singapore (NUS),
12,Princeton University,
13,Cornell University,
14,University of Pennsylvania,
15,Tsinghua University,
16,Yale University,
17,Columbia University,
18,Ecole Polytechnique F�d�rale de Lausanne (EPFL),
19,University of Edinburgh,
20,University of Michigan,
21,Peking University,
22,The University of Tokyo,
23,Johns Hopkins University,
24,Duke University,
25,University of Hong Kong (HKU),
26,The University of Manchester,
27,"University of California, Berkeley (UCB)",
28,Australian National University (ANU),
29,University of Toronto,
30,Northwestern University,
31,The Hong Kong University of Science and Technology (HKUST),
32,King's College London (KCL),
33,Kyoto University,
34,McGill University,
35,"University of California, Los Angeles (UCLA)",
36,Seoul National University (SNU),
37,The University of Melbourne,
38,New York University (NYU),
39,Fudan University,
40,KAIST - Korea Advanced Institute of Science and Technology,
41,The University of Sydney,
42,The University of New South Wales (UNSW),
43,London School of Economics and Political Science (LSE),
44,"University of California, San Diego (UCSD)",
45,The Chinese University of Hong Kong (CUHK),
46,The University of Queensland (UQ),
47,Carnegie Mellon University,
48,University of Bristol,
49,Delft University of Technology,
50,University of British Columbia,
51,City University of Hong Kong,
52,Universit� PSL (Paris Sciences & Lettres),
53,Zhejiang University,
54,Technische Universit�t M�nchen,
55,University of Wisconsin-Madison,
56,Brown University,
57,Monash University,
58,Tokyo Institute of Technology,
59,Ecole Polytechnique,
60,Shanghai Jiao Tong University,
61,The University of Warwick,
62,Ludwig-Maximilians-Universit�t M�nchen,
63,University of Amsterdam,
64,University of Texas at Austin,
65,Ruprecht-Karls-Universit�t Heidelberg,
66,University of Glasgow,
67,University of Washington,
68,National Taiwan University (NTU),
69,Universiti Malaya (UM),
70,Osaka University,
71,Georgia Institute of Technology (Georgia Tech),
72,Universidad de Buenos Aires,
73,University of Illinois at Urbana-Champaign,
74,University of Zurich,
75,Sorbonne University,
76,Durham University,
77,The University of Sheffield,
78,Katholieke Universiteit Leuven,
79,University of Birmingham,
80,University of Copenhagen,
81,Tohoku University,
82,Korea University,
83,The University of Auckland,
84,Lomonosov Moscow State University,
85,Rice University,
86,The University of Western Australia (UWA),
87,Pohang University of Science and Technology (POSTECH),
88,University of Science and Technology of China,
89,"University of North Carolina, Chapel Hill",
90,The Hong Kong Polytechnic University,
91,Lund University,
92,Pennsylvania State University,
93,University of Leeds,
94,Sungkyunkwan University,
95,The University of Nottingham,
